provinces,annees,trimestres,indicateurs,cibles,sexes,tranches_ages,Valeur,period
Mai-Ndombe,2020,T1,Nombre de clients testés,Population Générale,Féminin,25 à 49 ans,306,2020-T1
Mai-Ndombe,2020,T1,Nombre de clients testés,Population Générale,Masculin,20 à 24 ans,334,2020-T1
Mai-Ndombe,2020,T2,Nombre de clients testés,Population Générale,Masculin,>= 50 ans,54,2020-T2
Mai-Ndombe,2020,T2,Nombre de clients testés,Population Générale,Masculin,15 à 19 ans,1624,2020-T2
Mai-Ndombe,2020,T2,Nombre de clients testés,Population Générale,Masculin,25 à 49 ans,4180,2020-T2
Mai-Ndombe,2020,T1,Nombre de clients testés,Population Générale,Masculin,25 à 49 ans,372,2020-T1
Mai-Ndombe,2020,T2,Nombre de clients testés,Population Générale,Masculin,20 à 24 ans,2002,2020-T2
Mai-Ndombe,2020,T2,Nombre de clients testés,Population Générale,Féminin,25 à 49 ans,6178,2020-T2
Mai-Ndombe,2020,T2,Nombre de clients testés,Population Générale,Féminin,20 à 24 ans,3315,2020-T2
Mai-Ndombe,2020,T2,Nombre de clients diagnostiqués VIH+,Population Générale,Féminin,20 à 24 ans,8,2020-T2
Mai-Ndombe,2020,T2,Nombre de clients diagnostiqués VIH+,Population Générale,Masculin,25 à 49 ans,15,2020-T2
Mai-Ndombe,2020,T2,Nombre de clients diagnostiqués VIH+,Population Générale,Masculin,20 à 24 ans,11,2020-T2
Mai-Ndombe,2020,T2,Nombre de clients diagnostiqués VIH+,Population Générale,Féminin,25 à 49 ans,45,2020-T2
Mai-Ndombe,2020,T1,Nombre de clients diagnostiqués VIH+,Population Générale,Masculin,25 à 49 ans,1,2020-T1
Mai-Ndombe,2020,T2,Nombre de clients diagnostiqués VIH+,Population Générale,Masculin,10 à 14 ans,1,2020-T2
Mai-Ndombe,2020,T2,Nombre de PVVIH sous TAR,Population Générale,Masculin,25 à 49 ans,211,2020-T2
Mai-Ndombe,2020,T2,Nombre de PVVIH sous TAR,Population Générale,Masculin,< 10 ans,22,2020-T2
Mai-Ndombe,2020,T2,Nombre de PVVIH sous TAR,Population Générale,Féminin,15 à 19 ans,58,2020-T2
Mai-Ndombe,2020,T2,Nombre de PVVIH sous TAR,Population Générale,Féminin,20 à 24 ans,223,2020-T2
Mai-Ndombe,2020,T2,Nombre de PVVIH sous TAR,Population Générale,Masculin,>= 50 ans,8,2020-T2
Mai-Ndombe,2020,T2,Nombre de PVVIH sous TAR,Population Générale,Féminin,< 10 ans,41,2020-T2
Mai-Ndombe,2020,T2,Nombre de PVVIH sous TAR,Population Générale,Féminin,25 à 49 ans,458,2020-T2
Mai-Ndombe,2020,T2,Nombre de PVVIH sous TAR,Population Générale,Masculin,20 à 24 ans,238,2020-T2
Mai-Ndombe,2020,T2,Nombre de PVVIH sous TAR,Population Générale,Féminin,>= 50 ans,19,2020-T2
Kasaï-Central,2020,T1,Nombre de PVVIH sous TAR,Population Générale,Féminin,20 à 24 ans,172,2020-T1
Kasaï-Central,2020,T1,Nombre de PVVIH sous TAR,Population Générale,Féminin,10 à 14 ans,23,2020-T1
Kasaï-Central,2020,T1,Nombre de PVVIH sous TAR,Population Générale,Masculin,25 à 49 ans,2223,2020-T1
Kasaï-Central,2020,T1,Nombre de PVVIH sous TAR,Population Générale,Féminin,15 à 19 ans,257,2020-T1
Kasaï-Central,2020,T1,Nombre de PVVIH sous TAR,Population Générale,Masculin,15 à 19 ans,630,2020-T1
Kasaï-Central,2020,T1,Nombre de PVVIH sous TAR,Population Générale,Féminin,25 à 49 ans,2021,2020-T1
Kasaï-Central,2020,T1,Nombre de PVVIH sous TAR,Population Générale,Masculin,20 à 24 ans,182,2020-T1
Kasaï-Central,2020,T1,Nombre de PVVIH sous TAR,Population Générale,Masculin,10 à 14 ans,55,2020-T1
Mai-Ndombe,2020,T2,Nombre de clients testés,Prisonniers,Masculin,25 à 49 ans,1,2020-T2
Mai-Ndombe,2020,T2,Nombre de clients diagnostiqués VIH+,PS,Féminin,25 à 49 ans,1,2020-T2
Mai-Ndombe,2020,T2,Nombre de clients testés,PS,Féminin,25 à 49 ans,38,2020-T2
Nord-Kivu,2020,T1,Nombre  de PVVIH sous TAR qui ont supprimée la charge virale,Population Générale,Masculin,25 à 49 ans,2351,2020-T1
Nord-Kivu,2020,T1,Nombre  de PVVIH sous TAR qui ont supprimée la charge virale,Population Générale,Féminin,25 à 49 ans,4960,2020-T1
Mongala,2020,T1,Nombre de clients diagnostiqués VIH+,Population Générale,Masculin,25 à 49 ans,116,2020-T1
Mongala,2020,T2,Nombre de clients diagnostiqués VIH+,Population Générale,Masculin,25 à 49 ans,169,2020-T2
Mongala,2020,T3,Nombre de clients diagnostiqués VIH+,Population Générale,Masculin,25 à 49 ans,158,2020-T3
Mongala,2020,T4,Nombre de clients diagnostiqués VIH+,Population Générale,Masculin,25 à 49 ans,94,2020-T4
Haut-Katanga,2020,T4,Nombre de clients testés,Elèves,Féminin,10 à 14 ans,531,2020-T4
Haut-Katanga,2020,T4,Nombre de clients testés,Elèves,Masculin,15 à 19 ans,532,2020-T4
Haut-Katanga,2020,T4,Nombre de clients testés,Elèves,Féminin,20 à 24 ans,537,2020-T4
Haut-Katanga,2020,T4,Nombre de clients testés,Elèves,Masculin,10 à 14 ans,535,2020-T4
Haut-Katanga,2020,T4,Nombre de clients testés,Elèves,Masculin,20 à 24 ans,534,2020-T4
Haut-Katanga,2020,T4,Nombre de clients testés,Elèves,Féminin,15 à 19 ans,534,2020-T4
Haut-Katanga,2020,T4,Nombre de clients testés,Etudiants,Féminin,20 à 24 ans,1157,2020-T4
Haut-Katanga,2020,T4,Nombre de clients testés,Etudiants,Masculin,15 à 19 ans,188,2020-T4
Haut-Katanga,2020,T4,Nombre de clients testés,Etudiants,Masculin,20 à 24 ans,1023,2020-T4
Haut-Katanga,2020,T4,Nombre de clients testés,Etudiants,Féminin,15 à 19 ans,187,2020-T4
Nord-Kivu,2020,T4,Nombre de clients testés,Population Générale,Masculin,20 à 24 ans,1757,2020-T4
Nord-Kivu,2020,T4,Nombre de clients diagnostiqués VIH+,Population Générale,Masculin,20 à 24 ans,718,2020-T4
Nord-Kivu,2020,T4,Nombre  de PVVIH sous TAR qui ont supprimée la charge virale,Population Générale,Masculin,20 à 24 ans,2201,2020-T4
Kasaï,2020,T1,Nombre de clients testés,Personnes en milieu du travail,Masculin,20 à 24 ans,30,2020-T1
Kasaï,2020,T1,Nombre de clients testés,Personnes en milieu du travail,Masculin,25 à 49 ans,27,2020-T1
Kasaï,2020,T1,Nombre de clients testés,Personnes en milieu du travail,Masculin,>= 50 ans,2,2020-T1
Kasaï,2020,T1,Nombre de clients testés,Personnes en milieu du travail,Féminin,25 à 49 ans,30,2020-T1
Kasaï,2020,T1,Nombre de clients testés,Personnes en milieu du travail,Féminin,20 à 24 ans,33,2020-T1
Kasaï,2020,T1,Nombre de clients testés,Personnes en milieu du travail,Féminin,>= 50 ans,4,2020-T1
Kasaï,2020,T1,Nombre de clients testés,Survivants des violences sexuelles et celles basées sur le genre,Féminin,20 à 24 ans,23,2020-T1
Kasaï,2020,T1,Nombre de clients testés,Survivants des violences sexuelles et celles basées sur le genre,Féminin,25 à 49 ans,10,2020-T1
Kasaï,2020,T1,Nombre de clients testés,Survivants des violences sexuelles et celles basées sur le genre,Féminin,>= 50 ans,2,2020-T1
Kasaï,2020,T1,Nombre de clients testés,Routiers/ Camioneurs,Masculin,25 à 49 ans,7,2020-T1
Kasaï,2020,T1,Nombre de clients testés,Routiers/ Camioneurs,Masculin,20 à 24 ans,12,2020-T1
Kasaï,2020,T1,Nombre de clients testés,PVVIH,Féminin,20 à 24 ans,27,2020-T1
Kasaï,2020,T1,Nombre de clients testés,PVVIH,Féminin,25 à 49 ans,45,2020-T1
Kasaï,2020,T1,Nombre de clients testés,PVVIH,Masculin,>= 50 ans,5,2020-T1
Kasaï,2020,T1,Nombre de clients testés,PVVIH,Féminin,>= 50 ans,4,2020-T1
Kasaï,2020,T1,Nombre de clients testés,PVVIH,Masculin,20 à 24 ans,50,2020-T1
Kasaï,2020,T1,Nombre de clients testés,PVVIH,Masculin,25 à 49 ans,33,2020-T1
Kasaï,2020,T1,Nombre de clients testés,PS,Féminin,25 à 49 ans,25,2020-T1
Kasaï,2020,T1,Nombre de clients testés,PS,Féminin,20 à 24 ans,12,2020-T1
Kasaï,2020,T1,Nombre de clients testés,Prisonniers,Masculin,25 à 49 ans,32,2020-T1
Kasaï,2020,T1,Nombre de clients testés,Prisonniers,Masculin,20 à 24 ans,68,2020-T1
Kasaï,2020,T1,Nombre de clients testés,Prisonniers,Féminin,25 à 49 ans,20,2020-T1
Kasaï,2020,T1,Nombre de clients testés,Prisonniers,Féminin,20 à 24 ans,12,2020-T1
Kasaï,2020,T1,Nombre de clients testés,Personnes vivants avec handicap,Masculin,20 à 24 ans,11,2020-T1
Kasaï,2020,T1,Nombre de clients testés,Personnes vivants avec handicap,Masculin,25 à 49 ans,32,2020-T1
Kasaï,2020,T1,Nombre de clients testés,Personnes vivants avec handicap,Féminin,20 à 24 ans,16,2020-T1
Kasaï,2020,T1,Nombre de clients testés,Personnes vivants avec handicap,Féminin,25 à 49 ans,22,2020-T1
Kasaï,2020,T1,Nombre de clients testés,Personnel soignant,Féminin,25 à 49 ans,6,2020-T1
Kasaï,2020,T1,Nombre de clients testés,Personnel soignant,Féminin,20 à 24 ans,9,2020-T1
Kasaï,2020,T1,Nombre de clients testés,Personnel soignant,Masculin,20 à 24 ans,14,2020-T1
Kasaï,2020,T1,Nombre de clients testés,Personnel soignant,Masculin,25 à 49 ans,10,2020-T1
Kasaï,2020,T1,Nombre de clients testés,Population Générale,Masculin,20 à 24 ans,210,2020-T1
Kasaï,2020,T1,Nombre de clients testés,Population Générale,Féminin,>= 50 ans,2,2020-T1
Kasaï,2020,T1,Nombre de clients testés,Population Générale,Masculin,25 à 49 ans,168,2020-T1
Kasaï,2020,T1,Nombre de clients testés,Population Générale,Masculin,>= 50 ans,5,2020-T1
Kasaï,2020,T1,Nombre de clients testés,Population Générale,Féminin,25 à 49 ans,68,2020-T1
Kasaï,2020,T1,Nombre de clients testés,Population Générale,Féminin,20 à 24 ans,166,2020-T1
Haut-Katanga,2020,T1,Nombre de clients testés,Personnes en milieu du travail,Masculin,15 à 19 ans,29,2020-T1
Haut-Katanga,2020,T1,Nombre de clients testés,Personnes en milieu du travail,Masculin,10 à 14 ans,19,2020-T1
Haut-Katanga,2020,T1,Nombre de clients testés,Personnes en milieu du travail,Féminin,10 à 14 ans,23,2020-T1
Haut-Katanga,2020,T1,Nombre de clients testés,Personnes en milieu du travail,Féminin,20 à 24 ans,45,2020-T1
Haut-Katanga,2020,T1,Nombre de clients testés,Personnes en milieu du travail,Féminin,15 à 19 ans,30,2020-T1
Haut-Katanga,2020,T1,Nombre de clients testés,Personnes en milieu du travail,Féminin,>= 50 ans,5,2020-T1
Haut-Katanga,2020,T1,Nombre de clients testés,Personnes en milieu du travail,Féminin,25 à 49 ans,47,2020-T1
Haut-Katanga,2020,T1,Nombre de clients testés,Personnes en milieu du travail,Masculin,20 à 24 ans,56,2020-T1
Haut-Katanga,2020,T1,Nombre de clients testés,Personnes en milieu du travail,Masculin,25 à 49 ans,38,2020-T1
Haut-Katanga,2020,T1,Nombre de clients testés,Personnes en milieu du travail,Masculin,>= 50 ans,8,2020-T1
Kasaï,2020,T1,Nombre de clients diagnostiqués VIH+,Policiers,Féminin,>= 50 ans,1,2020-T1
Kasaï,2020,T1,Nombre de clients diagnostiqués VIH+,Policiers,Féminin,20 à 24 ans,1,2020-T1
Kasaï,2020,T1,Nombre de clients diagnostiqués VIH+,Policiers,Masculin,25 à 49 ans,4,2020-T1
Kasaï,2020,T1,Nombre de clients diagnostiqués VIH+,HSH,Masculin,20 à 24 ans,1,2020-T1
Kasaï,2020,T1,Nombre de PVVIH sous TAR,Population Générale,Masculin,>= 50 ans,2,2020-T1
Kasaï,2020,T1,Nombre de PVVIH sous TAR,Population Générale,Féminin,25 à 49 ans,100,2020-T1
Kasaï,2020,T1,Nombre de PVVIH sous TAR,Population Générale,Féminin,>= 50 ans,1,2020-T1
Kasaï,2020,T1,Nombre de PVVIH sous TAR,Population Générale,Masculin,25 à 49 ans,89,2020-T1
Kasaï,2020,T1,Nombre de PVVIH sous TAR,Population Générale,Féminin,20 à 24 ans,180,2020-T1
Kasaï,2020,T1,Nombre de PVVIH sous TAR,Population Générale,Masculin,20 à 24 ans,122,2020-T1
Kasaï,2020,T1,Nombre de PVVIH sous TAR,Personnes en milieu du travail,Féminin,25 à 49 ans,22,2020-T1
Kasaï,2020,T1,Nombre de PVVIH sous TAR,Personnes en milieu du travail,Masculin,20 à 24 ans,39,2020-T1
Kasaï,2020,T1,Nombre de PVVIH sous TAR,Personnes en milieu du travail,Féminin,20 à 24 ans,50,2020-T1
Kasaï,2020,T1,Nombre de PVVIH sous TAR,Personnes en milieu du travail,Féminin,>= 50 ans,2,2020-T1
Kasaï,2020,T1,Nombre de PVVIH sous TAR,Personnes en milieu du travail,Masculin,25 à 49 ans,28,2020-T1
Kasaï,2020,T1,Nombre de PVVIH sous TAR,Personnes en milieu du travail,Masculin,>= 50 ans,1,2020-T1
Kasaï,2020,T1,Nombre de PVVIH sous TAR,Conjoint des femmes enceintes,Masculin,25 à 49 ans,5,2020-T1
Kasaï,2020,T1,Nombre de PVVIH sous TAR,Conjoint des femmes enceintes,Masculin,>= 50 ans,1,2020-T1
Kasaï,2020,T1,Nombre de PVVIH sous TAR,Conjoint des femmes enceintes,Masculin,20 à 24 ans,8,2020-T1
Kasaï,2020,T1,Nombre de PVVIH sous TAR,Enseignants et personnel administratif des universités et instituts supérieurs,Féminin,20 à 24 ans,21,2020-T1
Kasaï,2020,T1,Nombre de PVVIH sous TAR,Enseignants et personnel administratif des universités et instituts supérieurs,Masculin,20 à 24 ans,14,2020-T1
Kasaï,2020,T1,Nombre de PVVIH sous TAR,Enseignants et personnel administratif des universités et instituts supérieurs,Masculin,25 à 49 ans,18,2020-T1
Kasaï,2020,T1,Nombre de PVVIH sous TAR,Enseignants et personnel administratif des universités et instituts supérieurs,Féminin,25 à 49 ans,12,2020-T1
Kasaï,2020,T1,Nombre de PVVIH sous TAR,Enseignants et personnel administratif des universités et instituts supérieurs,Féminin,>= 50 ans,1,2020-T1
Kasaï,2020,T1,Nombre de PVVIH sous TAR,Enseignants et personnel administratif des universités et instituts supérieurs,Masculin,>= 50 ans,2,2020-T1
Kasaï,2020,T1,Nombre de PVVIH sous TAR,Femmes enceintes,Féminin,20 à 24 ans,12,2020-T1
Kasaï,2020,T1,Nombre de PVVIH sous TAR,Femmes enceintes,Féminin,25 à 49 ans,10,2020-T1
Kasaï,2020,T1,Nombre de PVVIH sous TAR,Survivants des violences sexuelles et celles basées sur le genre,Féminin,20 à 24 ans,6,2020-T1
Kasaï,2020,T1,Nombre de PVVIH sous TAR,Survivants des violences sexuelles et celles basées sur le genre,Féminin,25 à 49 ans,4,2020-T1
Nord-Kivu,2020,T2,Nombre de clients testés,Population Générale,Féminin,20 à 24 ans,5326,2020-T2
Nord-Kivu,2020,T2,Nombre de clients diagnostiqués VIH+,Population Générale,Féminin,20 à 24 ans,442,2020-T2
Tshopo,2020,T1,Nombre de clients diagnostiqués VIH+,Population Générale,Masculin,>= 50 ans,158,2020-T1
Tshopo,2020,T1,Nombre de clients diagnostiqués VIH+,Population Générale,Masculin,20 à 24 ans,184,2020-T1
Tshopo,2020,T1,Nombre de clients diagnostiqués VIH+,Population Générale,Féminin,20 à 24 ans,278,2020-T1
Tshopo,2020,T1,Nombre de clients diagnostiqués VIH+,Population Générale,Féminin,15 à 19 ans,117,2020-T1
Tshopo,2020,T1,Nombre de clients diagnostiqués VIH+,Population Générale,Féminin,>= 50 ans,234,2020-T1
Tshopo,2020,T1,Nombre de clients diagnostiqués VIH+,Population Générale,Féminin,25 à 49 ans,675,2020-T1
Tshopo,2020,T1,Nombre de clients diagnostiqués VIH+,Population Générale,Masculin,15 à 19 ans,79,2020-T1
Tshopo,2020,T1,Nombre de clients diagnostiqués VIH+,Population Générale,Masculin,25 à 49 ans,455,2020-T1
Tshopo,2020,T1,Nombre de PVVIH sous TAR,Population Générale,Masculin,15 à 19 ans,472,2020-T1
Tshopo,2020,T1,Nombre de PVVIH sous TAR,Population Générale,Féminin,25 à 49 ans,2955,2020-T1
Tshopo,2020,T1,Nombre de PVVIH sous TAR,Population Générale,Féminin,>= 50 ans,625,2020-T1
Tshopo,2020,T1,Nombre de PVVIH sous TAR,Population Générale,Féminin,20 à 24 ans,1193,2020-T1
Tshopo,2020,T1,Nombre de PVVIH sous TAR,Population Générale,Féminin,15 à 19 ans,511,2020-T1
Tshopo,2020,T1,Nombre de PVVIH sous TAR,Population Générale,Masculin,25 à 49 ans,2728,2020-T1
Tshopo,2020,T1,Nombre de PVVIH sous TAR,Population Générale,Masculin,20 à 24 ans,1101,2020-T1
Tshopo,2020,T1,Nombre de PVVIH sous TAR,Population Générale,Masculin,>= 50 ans,944,2020-T1
Kasaï-Central,2020,T4,Nombre de clients diagnostiqués VIH+,Femmes enceintes,Féminin,25 à 49 ans,18,2020-T4
Kasaï-Central,2020,T4,Nombre de clients diagnostiqués VIH+,Femmes enceintes,Féminin,20 à 24 ans,62,2020-T4
Kasaï-Central,2020,T4,Nombre de clients diagnostiqués VIH+,Femmes enceintes,Féminin,15 à 19 ans,26,2020-T4
Kasaï-Central,2020,T1,Nombre de PVVIH sous TAR,Femmes enceintes séropositives ,Féminin,15 à 19 ans,26,2020-T1
Kasaï-Central,2020,T1,Nombre de PVVIH sous TAR,Femmes enceintes séropositives ,Féminin,20 à 24 ans,37,2020-T1
Kasaï-Central,2020,T1,Nombre de PVVIH sous TAR,Femmes enceintes séropositives ,Féminin,25 à 49 ans,43,2020-T1
Nord-Kivu,2020,T3,Nombre de clients testés,Population Générale,Féminin,20 à 24 ans,22937,2020-T3
Nord-Kivu,2020,T3,Nombre de clients diagnostiqués VIH+,Population Générale,Féminin,20 à 24 ans,4,2020-T3
Nord-Kivu,2020,T1,Nombre de clients testés,Population Générale,Féminin,20 à 24 ans,29,2020-T1
Tshuapa,2020,T3,Nombre de clients diagnostiqués VIH+,Etudiants,Masculin,20 à 24 ans,29,2020-T3
Tshuapa,2020,T3,Nombre de clients diagnostiqués VIH+,Etudiants,Masculin,25 à 49 ans,50,2020-T3
Tshuapa,2020,T3,Nombre de clients diagnostiqués VIH+,Etudiants,Féminin,25 à 49 ans,48,2020-T3
Tshuapa,2020,T3,Nombre de clients diagnostiqués VIH+,Etudiants,Féminin,20 à 24 ans,2,2020-T3
Tshuapa,2020,T3,Nombre de clients diagnostiqués VIH+,Elèves,Masculin,15 à 19 ans,45,2020-T3
Tshuapa,2020,T3,Nombre de clients diagnostiqués VIH+,Elèves,Masculin,20 à 24 ans,6,2020-T3
Tshuapa,2020,T3,Nombre de clients diagnostiqués VIH+,Elèves,Féminin,15 à 19 ans,40,2020-T3
Tshuapa,2020,T3,Nombre de clients diagnostiqués VIH+,Routiers/ Camioneurs,Masculin,15 à 19 ans,10,2020-T3
Tshuapa,2020,T3,Nombre de clients diagnostiqués VIH+,Elèves,Féminin,20 à 24 ans,9,2020-T3
Tshuapa,2020,T3,Nombre de clients diagnostiqués VIH+,Routiers/ Camioneurs,Masculin,20 à 24 ans,64,2020-T3
Tshuapa,2020,T3,Nombre de clients diagnostiqués VIH+,Routiers/ Camioneurs,Masculin,25 à 49 ans,56,2020-T3
Tshuapa,2020,T3,Nombre de clients diagnostiqués VIH+,Elèves,Masculin,15 à 19 ans,173,2020-T3
Tshuapa,2020,T3,Nombre de clients diagnostiqués VIH+,Elèves,Masculin,20 à 24 ans,30,2020-T3
Tshuapa,2020,T3,Nombre de clients diagnostiqués VIH+,Elèves,Féminin,15 à 19 ans,172,2020-T3
Tshuapa,2020,T3,Nombre de clients diagnostiqués VIH+,Elèves,Féminin,20 à 24 ans,40,2020-T3
Tshuapa,2020,T3,Nombre de clients diagnostiqués VIH+,Etudiants,Masculin,20 à 24 ans,1089,2020-T3
Tshuapa,2020,T4,Nombre de PVVIH sous TAR,Elèves,Masculin,15 à 19 ans,630,2020-T4
Tshuapa,2020,T4,Nombre de PVVIH sous TAR,Elèves,Féminin,15 à 19 ans,1009,2020-T4
Tshuapa,2020,T4,Nombre de PVVIH sous TAR,PS,Masculin,20 à 24 ans,10,2020-T4
Tshuapa,2020,T4,Nombre de PVVIH sous TAR,PS,Féminin,20 à 24 ans,8,2020-T4
Tshuapa,2020,T4,Nombre de PVVIH sous TAR,PS,Masculin,25 à 49 ans,200,2020-T4
Tshuapa,2020,T4,Nombre de PVVIH sous TAR,PS,Féminin,25 à 49 ans,190,2020-T4
Mai-Ndombe,2021,T2,Nombre  de PVVIH sous TAR qui ont supprimée la charge virale,Population Générale,Masculin,25 à 49 ans,2,2021-T2
Mai-Ndombe,2021,T1,Nombre  de PVVIH sous TAR qui ont supprimée la charge virale,Population Générale,Féminin,25 à 49 ans,5,2021-T1
Mai-Ndombe,2021,T2,Nombre  de PVVIH sous TAR qui ont supprimée la charge virale,Population Générale,Féminin,25 à 49 ans,5,2021-T2
Mai-Ndombe,2021,T1,Nombre  de PVVIH sous TAR qui ont supprimée la charge virale,Population Générale,Masculin,25 à 49 ans,2,2021-T1
Nord-Kivu,2021,T1,Nombre de PVVIH sous TAR,Population Générale,Féminin,>= 50 ans,709,2021-T1
Nord-Kivu,2021,T1,Nombre de PVVIH sous TAR,Population Générale,Féminin,< 10 ans,999,2021-T1
Nord-Kivu,2021,T3,Nombre de PVVIH sous TAR,Population Générale,Féminin,20 à 24 ans,674,2021-T3
Nord-Kivu,2021,T1,Nombre de PVVIH sous TAR,Population Générale,Féminin,20 à 24 ans,10983,2021-T1
Nord-Kivu,2021,T1,Nombre de PVVIH sous TAR,Population Générale,Masculin,25 à 49 ans,525,2021-T1
Nord-Kivu,2021,T4,Nombre de PVVIH sous TAR,Population Générale,Masculin,25 à 49 ans,7988,2021-T4
Nord-Kivu,2021,T1,Nombre de PVVIH sous TAR,Population Générale,Masculin,>= 50 ans,148,2021-T1
Nord-Kivu,2021,T4,Nombre de PVVIH sous TAR,Population Générale,Féminin,25 à 49 ans,13312,2021-T4
Nord-Kivu,2021,T1,Nombre de PVVIH sous TAR,Population Générale,Féminin,15 à 19 ans,669,2021-T1
Nord-Kivu,2021,T2,Nombre de PVVIH sous TAR,Population Générale,Féminin,20 à 24 ans,2416,2021-T2
Nord-Kivu,2021,T1,Nombre de PVVIH sous TAR,Population Générale,Masculin,< 10 ans,215,2021-T1
Nord-Kivu,2021,T1,Nombre de PVVIH sous TAR,Population Générale,Masculin,20 à 24 ans,564,2021-T1
Nord-Kivu,2021,T1,Nombre de PVVIH sous TAR,Population Générale,Féminin,25 à 49 ans,6488,2021-T1
Mai-Ndombe,2021,T1,Nombre de clients testés,TG,Masculin,25 à 49 ans,1,2021-T1
Mai-Ndombe,2021,T2,Nombre de clients testés,TG,Masculin,25 à 49 ans,1,2021-T2
Mai-Ndombe,2021,T1,Nombre de clients testés,HSH,Masculin,25 à 49 ans,7,2021-T1
Mai-Ndombe,2021,T2,Nombre de clients testés,HSH,Masculin,25 à 49 ans,7,2021-T2
Mai-Ndombe,2021,T2,Nombre de clients testés,Population Générale,Masculin,15 à 19 ans,109,2021-T2
Mai-Ndombe,2021,T3,Nombre de clients testés,Population Générale,Féminin,25 à 49 ans,55,2021-T3
Mai-Ndombe,2021,T4,Nombre de clients testés,Population Générale,Masculin,20 à 24 ans,66,2021-T4
Mai-Ndombe,2021,T4,Nombre de clients testés,Population Générale,Masculin,25 à 49 ans,97,2021-T4
Mai-Ndombe,2021,T4,Nombre de clients testés,Population Générale,Masculin,15 à 19 ans,37,2021-T4
Mai-Ndombe,2021,T2,Nombre de clients testés,Population Générale,Féminin,20 à 24 ans,187,2021-T2
Mai-Ndombe,2021,T2,Nombre de clients testés,Population Générale,Féminin,10 à 14 ans,13,2021-T2
Mai-Ndombe,2021,T3,Nombre de clients testés,Population Générale,Masculin,15 à 19 ans,31,2021-T3
Mai-Ndombe,2021,T1,Nombre de clients testés,Population Générale,Masculin,20 à 24 ans,108,2021-T1
Mai-Ndombe,2021,T1,Nombre de clients testés,Population Générale,Féminin,10 à 14 ans,13,2021-T1
Mai-Ndombe,2021,T1,Nombre de clients testés,Population Générale,Féminin,15 à 19 ans,86,2021-T1
Mai-Ndombe,2021,T3,Nombre de clients testés,Population Générale,Féminin,15 à 19 ans,22,2021-T3
Mai-Ndombe,2021,T3,Nombre de clients testés,Population Générale,Masculin,20 à 24 ans,103,2021-T3
Mai-Ndombe,2021,T1,Nombre de clients testés,Population Générale,Masculin,25 à 49 ans,146,2021-T1
Mai-Ndombe,2021,T2,Nombre de clients testés,Population Générale,Masculin,25 à 49 ans,123,2021-T2
Mai-Ndombe,2021,T1,Nombre de clients testés,Population Générale,Masculin,15 à 19 ans,65,2021-T1
Mai-Ndombe,2021,T1,Nombre de clients testés,Population Générale,Féminin,25 à 49 ans,184,2021-T1
